FORMES ORTHOGRAPHIQUES,NLET,SYNT,CP F,CP D,CP U,CP SFI,CE1 F,CE1 D,CE1 U,CE1 SFI,CE2-CM2 F,CE2-CM2 D,CE2-CM2 U,CE2-CM2 SFI,CP-CM2 F,CP-CM2 D,CP-CM2 U,CP-CM2 SFI
naissante,9,ADJ,,,,,,,,,2,0.21,0.35,35.38,2,0.17,0.21,33.16
naissantes,10,ADJ,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
naissent,8,VER,1,0.00,0.50,37.03,4,0.41,5.21,47.17,10,0.61,4.49,46.52,15,0.61,4.86,46.86
naît,4,VER,2,0.00,1.05,40.19,10,0.74,21.55,53.33,12,0.64,5.67,47.53,24,0.70,8.81,49.45
naîtra,6,VER,,,,,1,0.00,0.23,33.69,,,,,1,0.00,0.01,18.98
naîtrait,8,VER,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
naître,6,VER,2,0.27,3.89,45.90,11,0.74,23.91,53.79,37,0.72,19.65,52.93,50,0.73,19.32,52.86
naïve,5,ADJ,,,,,1,0.00,0.21,33.29,,,,,1,0.00,0.01,18.58
naïvement,9,ADV,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
naïves,6,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
naïveté,7,NC,,,,,,,,,4,0.31,0.96,39.83,4,0.26,0.58,37.64
naja,4,NC,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
nakou,5,NP,,,,,,,,,4,0.00,0.10,29.97,4,0.00,0.05,27.19
naldo,5,NP,,,,,,,,,2,0.00,0.06,27.44,2,0.00,0.03,24.66
nam,3,NP,,,,,,,,,16,0.33,4.18,46.21,16,0.28,2.52,44.02
nana,4,NP,,,,,3,0.00,1.03,40.12,,,,,3,0.00,0.03,25.41
nanar,5,NP,,,,,,,,,3,0.00,0.09,29.46,3,0.00,0.05,26.67
nanasse,7,NP,,,,,25,0.00,5.08,47.06,,,,,25,0.00,0.17,32.35
nancy,5,NP,1,0.00,0.52,37.18,1,0.00,0.19,32.89,3,0.33,0.75,38.75,5,0.40,1.08,40.33
nangora,7,NP,,,,,,,,,8,0.00,0.28,34.47,8,0.00,0.15,31.68
nanie,5,NP,,,,,2,0.00,0.72,38.60,,,,,2,0.00,0.02,23.88
nannerl,7,NP,,,,,,,,,3,0.00,0.03,24.70,3,0.00,0.02,21.92
nanou,5,NP,,,,,1,0.00,0.25,33.94,3,0.00,0.14,31.31,4,0.14,0.36,35.61
nanouchka,9,NP,,,,,1,0.00,0.19,32.89,,,,,1,0.00,0.01,18.18
nantais,7,ADJ,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
nantaises,9,ADJ,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
nanterre,8,NP,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
nantes,6,NP,6,0.43,16.55,52.19,2,0.27,1.96,42.92,28,0.72,14.76,51.69,36,0.69,13.10,51.17
nanus,5,NP,,,,,2,0.00,0.41,36.09,,,,,2,0.00,0.01,21.38
naoh,4,NP,,,,,,,,,31,0.31,7.67,48.85,31,0.26,4.62,46.64
naples,6,NP,,,,,,,,,6,0.47,2.12,43.26,6,0.39,1.28,41.08
napoléon,8,NP,,,,,2,0.27,1.85,42.68,30,0.67,14.85,51.72,32,0.60,10.18,50.08
napoléonienne,13,ADJ,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
napoléoniennes,14,ADJ,,,,,,,,,1,0.00,0.02,23.62,1,0.00,0.01,20.84
napolitain,10,NC,,,,,,,,,2,0.00,0.03,25.20,2,0.00,0.02,22.41
napolitaines,12,ADJ,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
napolitains,11,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
nappe,5,NC,18,0.75,80.62,59.06,4,0.54,6.62,48.21,32,0.79,18.53,52.68,54,0.80,22.67,53.55
nappe,5,VER,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
napperon,8,NC,,,,,1,0.00,0.23,33.69,1,0.00,0.02,22.39,2,0.17,0.20,32.92
nappes,6,NC,,,,,1,0.00,0.34,35.35,7,0.52,2.77,44.43,8,0.48,2.08,43.18
naquirent,9,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
naquit,6,VER,,,,,1,0.00,0.34,35.35,9,0.25,1.91,42.81,10,0.27,1.57,41.96
narcejac,8,NP,,,,,,,,,10,0.00,0.28,34.41,10,0.00,0.15,31.63
narcisse,8,NC,1,0.00,0.52,37.18,1,0.00,0.36,35.59,1,0.00,0.04,26.11,3,0.28,0.46,36.63
narcisses,9,NC,1,0.00,0.50,37.03,6,0.39,7.81,48.93,,,,,7,0.32,1.22,40.85
nargua,6,VER,,,,,,,,,2,0.00,0.04,25.73,2,0.00,0.02,22.95
narguait,8,VER,,,,,,,,,3,0.33,0.79,38.96,3,0.28,0.47,36.76
nargue,6,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.91
narguer,7,VER,,,,,2,0.27,1.98,42.98,3,0.33,0.79,38.96,5,0.40,1.10,40.42
narine,6,NC,5,0.26,9.58,49.82,2,0.27,1.95,42.91,4,0.42,1.26,41.01,11,0.49,2.90,44.62
narines,7,NC,1,0.00,0.50,37.03,4,0.27,3.93,45.94,20,0.69,10.12,50.05,25,0.64,8.49,49.29
narquois,8,ADJ,,,,,,,,,4,0.31,0.97,39.88,4,0.26,0.59,37.69
narrait,7,VER,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
narrateur,9,NC,,,,,,,,,18,0.49,6.68,48.25,18,0.41,4.05,46.08
narration,9,NC,,,,,,,,,6,0.19,1.01,40.04,6,0.16,0.60,37.79
narratrice,10,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
narré,5,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
narval,6,NC,,,,,1,0.00,0.17,32.34,,,,,1,0.00,0.01,17.62
nasal,5,ADJ,,,,,,,,,3,0.00,0.07,28.72,3,0.00,0.04,25.93
nasale,6,ADJ,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
nasales,7,ADJ,,,,,1,0.00,0.23,33.69,,,,,1,0.00,0.01,18.98
naseau,6,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
naseaux,7,NC,2,0.00,1.01,40.04,1,0.00,0.25,33.94,5,0.29,1.19,40.74,8,0.37,1.65,42.18
nasilla,7,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
nasillard,9,ADJ,,,,,,,,,2,0.00,0.08,29.12,2,0.00,0.04,26.34
nasillarde,10,ADJ,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
nasiller,8,VER,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
nasique,7,NC,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
nasrudin,8,NP,,,,,,,,,3,0.00,0.11,30.33,3,0.00,0.06,27.55
nasse,5,NC,,,,,,,,,2,0.00,0.05,26.73,2,0.00,0.02,23.95
nasses,6,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
natacha,7,NP,2,0.27,4.03,46.06,1,0.00,0.20,33.09,7,0.24,1.46,41.66,10,0.38,2.09,43.20
natal,5,ADJ,,,,,,,,,7,0.58,3.04,44.83,7,0.49,1.85,42.67
natale,6,ADJ,,,,,,,,,8,0.52,3.10,44.91,8,0.43,1.88,42.74
natassia,8,NP,,,,,1,0.00,0.19,32.89,,,,,1,0.00,0.01,18.18
natation,8,NC,6,0.61,22.16,53.46,5,0.52,7.91,48.98,17,0.50,6.33,48.02,28,0.64,9.39,49.73
nathalie,8,NP,6,0.34,13.82,51.41,18,0.23,15.55,51.92,39,0.55,15.97,52.03,63,0.57,19.05,52.80
nathan,6,NP,,,,,,,,,4,0.31,0.96,39.82,4,0.26,0.58,37.63
nathanaël,9,NP,,,,,,,,,12,0.00,0.55,37.39,12,0.00,0.29,34.60
natif,5,NC,,,,,,,,,2,0.00,0.03,24.67,2,0.00,0.02,21.89
nation,6,NC,,,,,,,,,4,0.31,1.02,40.09,4,0.26,0.61,37.89
national,8,ADJ,,,,,6,0.18,3.99,46.01,28,0.58,12.03,50.80,34,0.53,9.74,49.88
national,8,NC,,,,,,,,,3,0.33,0.76,38.82,3,0.28,0.46,36.63
nationale,9,ADJ,2,0.27,3.72,45.70,4,0.54,6.53,48.15,40,0.75,21.99,53.42,46,0.70,17.10,52.33
nationales,10,ADJ,,,,,,,,,2,0.21,0.36,35.51,2,0.17,0.21,33.27
nationalité,11,NC,,,,,4,0.41,5.21,47.17,12,0.59,5.29,47.23,16,0.58,4.94,46.94
nationaux,9,ADJ,,,,,,,,,11,0.41,3.45,45.38,11,0.34,2.09,43.20
nationaux,9,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
nations,7,NC,,,,,,,,,11,0.39,3.35,45.25,11,0.32,2.02,43.06
nativité,8,NC,1,0.00,0.52,37.18,,,,,,,,,1,0.00,0.00,16.29
nativités,9,NC,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
natte,5,NC,8,0.68,32.53,55.12,,,,,5,0.29,1.09,40.35,13,0.53,3.61,45.58
nattes,6,NC,1,0.00,0.37,35.74,3,0.43,4.03,46.05,7,0.41,2.17,43.37,11,0.51,2.98,44.75
naturaliste,11,ADJ,,,,,,,,,2,0.00,0.09,29.55,2,0.00,0.05,26.77
naturaliste,11,NC,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
nature,6,NC,11,0.60,40.69,56.09,35,0.83,83.82,59.23,157,0.82,93.56,59.71,203,0.81,86.30,59.36
nature,6,ADJ,3,0.43,8.26,49.17,4,0.41,5.03,47.01,18,0.59,7.88,48.96,25,0.62,8.31,49.19
naturel,7,ADJ,1,0.00,0.37,35.74,2,0.27,1.85,42.67,25,0.82,14.92,51.74,28,0.73,10.76,50.32
naturel,7,NC,,,,,1,0.00,0.17,32.34,10,0.69,5.08,47.06,11,0.60,3.53,45.48
naturelle,9,ADJ,,,,,2,0.27,1.82,42.60,25,0.81,14.74,51.68,27,0.71,10.09,50.04
naturellement,13,ADV,2,0.27,4.03,46.06,9,0.68,18.07,52.57,43,0.86,26.70,54.26,54,0.80,22.73,53.57
naturelles,10,ADJ,,,,,2,0.27,1.96,42.93,7,0.47,2.45,43.90,9,0.47,2.30,43.61
naturels,8,ADJ,,,,,2,0.00,0.44,36.42,12,0.56,5.05,47.03,14,0.50,3.82,45.82
natures,7,NC,,,,,,,,,3,0.19,0.48,36.85,3,0.16,0.29,34.62
naufrage,8,NC,1,0.00,0.61,37.82,2,0.27,1.97,42.95,18,0.74,9.78,49.90,21,0.67,7.51,48.76
naufragé,8,ADJ,,,,,,,,,12,0.33,3.12,44.95,4,0.14,0.35,35.40
naufragé,8,NC,,,,,,,,,4,0.17,0.58,37.65,12,0.28,1.88,42.75
naufrages,9,NC,1,0.00,0.61,37.82,1,0.00,0.36,35.59,2,0.00,0.07,28.45,4,0.26,0.59,37.68
naufragés,9,NC,,,,,,,,,8,0.52,3.11,44.93,8,0.43,1.89,42.76
nauséabonde,11,ADJ,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
nausée,6,NC,,,,,,,,,2,0.21,0.36,35.60,2,0.17,0.22,33.36
nausées,7,NC,,,,,,,,,1,0.00,0.01,21.66,1,0.00,0.01,18.88
nauséeux,8,ADJ,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
nausicaa,8,NP,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
nautile,7,NP,,,,,,,,,14,0.00,0.49,36.90,14,0.00,0.26,34.11
nautilus,8,NP,,,,,,,,,3,0.19,0.45,36.53,3,0.16,0.27,34.32
nautique,8,ADJ,,,,,4,0.00,0.85,39.31,11,0.53,4.37,46.41,15,0.47,3.81,45.80
nautiques,9,ADJ,,,,,,,,,4,0.31,0.96,39.82,4,0.26,0.58,37.63
naval,5,ADJ,1,0.00,0.61,37.82,,,,,4,0.31,0.98,39.92,5,0.33,0.92,39.63
navale,6,ADJ,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
navet,5,NC,1,0.00,0.61,37.86,4,0.54,6.62,48.21,18,0.46,6.15,47.89,23,0.52,6.36,48.04
navets,6,NC,2,0.27,3.78,45.78,1,0.00,0.29,34.61,10,0.48,3.63,45.60,13,0.51,3.55,45.50
navette,7,NC,,,,,8,0.26,7.87,48.96,30,0.56,12.59,51.00,38,0.53,10.92,50.38
navettes,8,NC,,,,,4,0.00,1.37,41.37,,,,,4,0.00,0.05,26.66
navigable,9,ADJ,,,,,,,,,2,0.21,0.35,35.41,2,0.17,0.21,33.18
navigables,10,ADJ,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
navigateur,10,NC,,,,,4,0.41,5.15,47.12,9,0.55,3.68,45.66,13,0.55,3.84,45.84
navigateurs,11,NC,,,,,,,,,6,0.54,2.41,43.83,6,0.45,1.47,41.66
navigation,10,NC,,,,,1,0.00,0.36,35.59,35,0.65,16.71,52.23,36,0.56,10.76,50.32
navigations,11,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
naviguaient,11,VER,,,,,,,,,2,0.21,0.33,35.24,2,0.17,0.20,33.02
naviguait,9,VER,,,,,,,,,3,0.19,0.48,36.81,3,0.16,0.29,34.58
naviguant,9,VER,,,,,,,,,2,0.21,0.36,35.60,2,0.17,0.22,33.36
navigue,7,VER,,,,,3,0.43,4.11,46.13,7,0.47,2.46,43.91,10,0.51,2.73,44.36
navigué,7,VER,,,,,2,0.27,1.86,42.69,5,0.32,1.23,40.89,7,0.39,1.47,41.68
naviguent,9,VER,,,,,1,0.00,0.34,35.35,5,0.48,1.82,42.60,6,0.45,1.46,41.64
naviguer,8,VER,1,0.00,0.61,37.86,4,0.41,5.39,47.32,18,0.60,8.01,49.03,23,0.60,7.31,48.64
naviguerait,11,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
naviguons,9,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
navire,6,NC,22,0.62,81.41,59.11,12,0.57,20.70,53.16,153,0.86,95.56,59.80,187,0.81,79.47,59.00
navires,7,NC,,,,,2,0.27,1.93,42.85,36,0.74,19.48,52.90,38,0.65,13.05,51.16
navratilova,11,NP,,,,,,,,,1,0.00,0.03,24.41,1,0.00,0.01,21.63
navre,5,VER,,,,,,,,,1,0.00,0.03,24.69,1,0.00,0.02,21.90
navré,5,ADJ,,,,,,,,,4,0.17,0.55,37.43,3,0.28,0.46,36.67
navré,5,VER,,,,,,,,,3,0.33,0.77,38.86,4,0.14,0.33,35.20
navrée,6,ADJ,,,,,1,0.00,0.25,33.94,1,0.00,0.03,25.43,2,0.17,0.20,33.10
navy,4,NP,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
nazaire,7,NP,,,,,,,,,2,0.00,0.03,25.08,2,0.00,0.02,22.30
ne,2,ADV,756,0.95,4 200.13,76.23,2 022,0.96,5 570.58,77.46,7 890,0.97,5 510.65,77.41,10 668,0.94,5 261.15,77.21
né,2,VER,12,0.57,42.54,56.29,23,0.94,61.73,57.90,88,0.90,57.19,57.57,123,0.88,56.88,57.55
né,2,ADJ,,,,,1,0.00,0.21,33.29,4,0.31,0.98,39.92,5,0.33,0.92,39.64
neandertal,10,NP,,,,,1,0.00,0.17,32.34,1,0.00,0.05,26.54,2,0.17,0.21,33.15
néandertaliens,14,ADJ,,,,,,,,,4,0.00,0.18,32.56,1,0.00,0.02,23.76
néandertaliens,14,NC,,,,,,,,,1,0.00,0.05,26.54,4,0.00,0.10,29.78
néanmoins,9,ADV,,,,,1,0.00,0.19,32.89,10,0.61,4.51,46.54,11,0.54,3.18,45.03
néanmoins,9,CON,,,,,,,,,8,0.45,2.74,44.38,8,0.37,1.66,42.21
néant,5,NC,,,,,2,0.00,0.69,38.36,10,0.33,2.51,43.99,12,0.34,2.23,43.49
nébuleuses,10,NC,,,,,,,,,3,0.33,0.79,38.95,3,0.28,0.47,36.76
nec,3,NC,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
nec,3,NP,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
nécessaire,10,ADJ,3,0.00,1.57,41.95,14,0.68,28.21,54.50,97,0.88,61.75,57.91,114,0.80,48.11,56.82
nécessairement,14,ADV,,,,,1,0.00,0.17,32.34,5,0.48,1.83,42.61,6,0.45,1.46,41.65
nécessaires,11,ADJ,3,0.25,5.39,47.31,5,0.52,7.91,48.98,53,0.90,34.50,55.38,61,0.81,25.92,54.14
nécessitant,11,VER,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
nécessite,9,VER,,,,,,,,,4,0.42,1.27,41.03,4,0.35,0.77,38.85
nécessité,9,NC,,,,,,,,,7,0.38,2.11,43.24,7,0.32,1.27,41.05
nécessité,9,VER,,,,,,,,,2,0.21,0.36,35.53,2,0.17,0.21,33.29
nécessitent,11,VER,,,,,1,0.00,0.36,35.59,2,0.21,0.35,35.49,3,0.28,0.47,36.70
nécessiter,10,VER,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
nécessités,10,NC,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
nectar,6,NC,,,,,,,,,7,0.38,2.12,43.26,7,0.32,1.28,41.07
nectarine,9,NC,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
nectarines,10,NC,,,,,,,,,3,0.00,0.08,29.18,3,0.00,0.04,26.40
née,3,VER,7,0.58,24.98,53.98,7,0.60,12.73,51.05,24,0.74,12.90,51.11,38,0.76,15.16,51.81
née,3,ADJ,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
néerlandais,11,ADJ,,,,,,,,,3,0.19,0.48,36.80,3,0.16,0.29,34.57
néerlandais,11,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
nées,4,VER,,,,,,,,,3,0.19,0.52,37.12,3,0.16,0.31,34.87
nef,3,NC,,,,,,,,,4,0.31,0.98,39.91,4,0.26,0.59,37.72
néfaste,7,ADJ,,,,,2,0.00,0.69,38.36,1,0.00,0.03,25.43,3,0.16,0.29,34.56
néfastes,8,ADJ,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
néfertiti,9,NP,,,,,,,,,2,0.00,0.05,26.61,2,0.00,0.02,23.83
neff,4,NP,,,,,,,,,3,0.00,0.08,29.18,3,0.00,0.04,26.40
néfins,6,NP,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
nèfles,6,NC,,,,,,,,,1,0.00,0.01,19.93,1,0.00,0.01,17.15
nefs,4,NC,,,,,,,,,3,0.00,0.05,27.33,3,0.00,0.03,24.54
négatif,7,ADJ,,,,,,,,,3,0.19,0.50,37.03,3,0.16,0.30,34.78
négatif,7,NC,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
négation,8,NC,,,,,2,0.00,0.72,38.60,33,0.51,12.75,51.06,35,0.45,8.74,49.41
négations,9,NC,,,,,,,,,4,0.31,1.01,40.05,4,0.26,0.61,37.85
négative,8,ADJ,,,,,10,0.50,15.67,51.95,62,0.51,24.07,53.82,72,0.51,20.04,53.02
négative,8,NC,,,,,,,,,2,0.21,0.37,35.70,2,0.17,0.22,33.45
négatives,9,ADJ,,,,,11,0.34,12.81,51.08,12,0.49,4.43,46.47,23,0.49,6.06,47.83
négligé,7,ADJ,,,,,,,,,1,0.00,0.02,22.55,1,0.00,0.01,19.77
négligé,7,VER,,,,,,,,,1,0.00,0.02,23.48,1,0.00,0.01,20.70
négligeait,10,VER,,,,,,,,,2,0.00,0.09,29.55,2,0.00,0.05,26.77
négligeant,10,VER,,,,,,,,,1,0.00,0.05,27.04,1,0.00,0.03,24.26
négligée,8,VER,,,,,,,,,1,0.00,0.02,22.72,1,0.00,0.01,19.94
négligemment,12,ADV,,,,,,,,,3,0.19,0.52,37.14,3,0.16,0.31,34.88
négligence,10,NC,,,,,1,0.00,0.36,35.59,4,0.42,1.27,41.05,5,0.40,1.10,40.43
négligences,11,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
négligent,9,NC,,,,,,,,,2,0.21,0.36,35.54,2,0.17,0.21,33.30
négliger,8,VER,,,,,,,,,2,0.21,0.36,35.56,2,0.17,0.21,33.32
négligés,8,ADJ,,,,,,,,,2,0.21,0.36,35.59,2,0.17,0.22,33.35
négligez,8,VER,,,,,,,,,1,0.00,0.02,23.60,1,0.00,0.01,20.82
négociations,12,NC,,,,,,,,,1,0.00,0.04,26.11,1,0.00,0.02,23.33
négocier,8,VER,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
nègre,5,NC,,,,,1,0.00,0.25,33.94,4,0.42,1.27,41.05,5,0.40,1.10,40.42
nègres,6,NC,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
négresse,8,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
négriers,8,NC,,,,,,,,,2,0.00,0.05,26.96,2,0.00,0.03,24.18
négrillon,9,NC,,,,,2,0.00,0.49,36.95,,,,,2,0.00,0.02,22.23
négrillons,10,NC,,,,,,,,,1,0.00,0.03,24.43,1,0.00,0.01,21.65
negro,5,NP,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
négus,5,NC,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
neige,5,NC,107,0.88,550.30,67.41,150,0.89,384.26,65.85,362,0.91,237.95,63.76,619,0.92,298.80,64.75
neige,5,VER,12,0.48,36.42,55.61,12,0.71,25.14,54.00,7,0.44,2.35,43.71,31,0.65,10.61,50.26
neige,5,NP,,,,,3,0.43,4.18,46.21,5,0.48,1.83,42.62,8,0.52,2.24,43.50
neigé,5,VER,1,0.00,0.37,35.74,19,0.64,36.10,55.58,7,0.35,1.86,42.70,27,0.54,7.80,48.92
neigea,6,VER,,,,,1,0.00,0.34,35.35,,,,,1,0.00,0.01,20.64
neigeait,8,VER,2,0.00,1.25,40.96,2,0.27,1.94,42.87,8,0.38,2.31,43.64,12,0.46,2.95,44.69
neigelune,9,NP,,,,,4,0.00,0.88,39.43,,,,,4,0.00,0.03,24.72
neiger,6,VER,3,0.43,8.36,49.22,3,0.25,2.82,44.51,6,0.37,1.72,42.36,12,0.53,3.36,45.27
neigera,7,VER,,,,,,,,,2,0.00,0.07,28.45,2,0.00,0.04,25.66
neiges,6,NC,1,0.00,0.53,37.27,2,0.00,0.34,35.35,13,0.50,4.97,46.97,16,0.49,4.27,46.30
neigeuse,8,ADJ,,,,,,,,,6,0.40,1.86,42.69,6,0.33,1.12,40.51
neigeuses,9,ADJ,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
neigeux,7,ADJ,,,,,,,,,5,0.40,1.54,41.87,5,0.33,0.93,39.69
neil,4,NP,,,,,,,,,36,0.22,6.82,48.34,36,0.18,4.07,46.09
nelly,5,NP,1,0.00,0.15,31.86,,,,,22,0.06,1.48,41.70,23,0.09,1.38,41.40
nelps,5,NP,,,,,,,,,2,0.00,0.06,27.70,2,0.00,0.03,24.91
nelson,6,NP,,,,,,,,,1,0.00,0.03,24.35,1,0.00,0.01,21.57
nemo,4,NP,,,,,,,,,3,0.19,0.50,36.95,3,0.16,0.30,34.70
némo,4,NP,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
nemours,7,NP,,,,,,,,,1,0.00,0.02,22.19,1,0.00,0.01,19.40
nems-luang,10,NP,,,,,,,,,3,0.00,0.14,31.31,3,0.00,0.07,28.53
nenni,5,ADV,,,,,,,,,1,0.00,0.03,25.43,1,0.00,0.02,22.65
nénu,4,NP,,,,,,,,,3,0.00,0.07,28.39,3,0.00,0.04,25.61
nénuphar,8,NC,4,0.41,10.22,50.09,5,0.26,4.82,46.83,7,0.52,2.74,44.38,16,0.58,4.91,46.91
nénuphars,9,NC,1,0.00,0.38,35.77,1,0.00,0.25,33.94,18,0.54,7.31,48.64,20,0.51,5.46,47.37
néolithique,11,NC,,,,,,,,,1,0.00,0.05,26.54,1,0.00,0.02,23.76
néolithiques,12,ADJ,,,,,,,,,1,0.00,0.05,26.59,1,0.00,0.02,23.81
néon,4,NC,,,,,,,,,3,0.00,0.15,31.81,3,0.00,0.08,29.03
neptune,7,NP,1,0.00,0.61,37.82,,,,,12,0.56,4.97,46.96,13,0.50,3.48,45.41
nerf,4,NC,,,,,,,,,1,0.00,0.02,22.07,1,0.00,0.01,19.29
nerfs,5,NC,,,,,3,0.25,2.83,44.52,16,0.70,8.22,49.15,19,0.63,6.34,48.02
nerveuse,8,ADJ,,,,,,,,,11,0.59,4.85,46.86,11,0.49,2.95,44.70
nerveusement,12,ADV,,,,,1,0.00,0.36,35.59,8,0.52,3.10,44.92,9,0.47,2.30,43.61
nerveuses,9,ADJ,,,,,,,,,2,0.21,0.33,35.24,2,0.17,0.20,33.02
nerveux,7,ADJ,1,0.00,0.43,36.31,4,0.41,5.11,47.08,24,0.74,13.01,51.14,29,0.68,10.53,50.22
nervosité,9,NC,,,,,,,,,11,0.49,4.11,46.14,11,0.41,2.49,43.97
nervure,7,NC,,,,,1,0.00,0.23,33.69,1,0.00,0.02,22.55,2,0.17,0.20,32.93
nervures,8,NC,,,,,,,,,1,0.00,0.04,25.56,1,0.00,0.02,22.78
nés,3,VER,3,0.25,5.61,47.49,6,0.52,9.48,49.77,12,0.61,5.40,47.32,21,0.65,7.21,48.58
nés,3,ADJ,1,0.00,0.52,37.18,2,0.00,0.72,38.60,2,0.21,0.34,35.35,5,0.33,0.91,39.60
nescafé,7,NP,,,,,,,,,2,0.00,0.04,26.49,2,0.00,0.02,23.71
nesles,6,NP,,,,,,,,,22,0.00,1.11,40.46,22,0.00,0.59,37.68
nesquik,7,NP,,,,,2,0.00,0.43,36.30,,,,,2,0.00,0.01,21.59
ness,4,NP,,,,,1,0.00,0.29,34.61,18,0.00,0.26,34.21,19,0.05,0.66,38.16
nessie,6,NP,,,,,,,,,13,0.00,0.19,32.80,13,0.00,0.10,30.02
nestlé,6,NP,,,,,4,0.00,0.85,39.31,2,0.00,0.06,27.70,6,0.16,0.55,37.42
nestor,6,NP,1,0.00,0.61,37.86,,,,,1,0.00,0.02,23.72,2,0.17,0.20,32.93
nestor-le-hérisson,18,NP,,,,,4,0.00,0.38,35.79,,,,,4,0.00,0.01,21.08
net,3,ADJ,,,,,8,0.54,13.14,51.19,26,0.82,15.54,51.91,29,0.70,10.80,50.34
net,3,ADV,3,0.25,5.42,47.34,5,0.37,6.10,47.85,21,0.76,11.67,50.67,34,0.75,13.46,51.29
nets,4,ADJ,,,,,,,,,3,0.33,0.78,38.91,3,0.28,0.47,36.72
nette,5,ADJ,3,0.25,5.69,47.55,1,0.00,0.21,33.29,9,0.61,4.09,46.12,13,0.59,4.08,46.11
nettement,9,ADV,1,0.00,0.61,37.82,,,,,22,0.78,12.46,50.96,23,0.67,8.12,49.10
nettes,6,ADJ,,,,,,,,,3,0.33,0.77,38.86,3,0.28,0.46,36.67
netteté,7,NC,,,,,,,,,3,0.19,0.50,36.97,3,0.16,0.30,34.72
nettoie,7,VER,2,0.27,3.67,45.64,5,0.63,9.38,49.72,9,0.57,3.81,45.81,16,0.65,5.53,47.43
